,Unnamed: 0,nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed
290156,290157,NCT01084291,,2010-03-08,,,2012-12-31,2010-03-08,2010-03-10,Estimate,,,,,,,2012-12-31,2013-01-03,Estimate,April 2010,,2010-04-30,December 2012,2012-12-31,June 2010,Actual,2010-06-30,May 2010,Actual,2010-05-31,,Interventional,,,Evaluation of the Safety and Immune Response to an Investigational Dengue Type 1 Vaccine,A Phase I Evaluation of the Safety and Immunogenicity of the rDEN1<U+2206>30 Dengue Serotype 1 Vaccine Given at a Single Dose of 101 PFU in Healthy Flavivirus-naïve Adult Subjects,Completed,,Phase 1,18.0,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,2.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 16:31:40,2023-06-16 16:31:40,NIH,,,,,
290203,290204,NCT00316628,,2006-04-19,,,2006-09-13,2006-04-19,2006-04-21,Estimate,,,,,,,2006-09-13,2006-09-14,Estimate,June 2005,,2005-06-30,September 2006,2006-09-30,,,,,,,,Interventional,,,Safety and Immunogenicity of an Adjuvanted Influenza Vaccine in Subjects Aged 65 Years and Over.,"A Phase II, Open Label, Uncontrolled, Multi Center Study to Evaluate Safety and Immunogenicity of a Surface Antigen, Inactivated, (Adjuvanted With MF59C.1) Influenza Vaccine, Formulation 2005-2006, When Administered to Elderly Subjects.",Completed,,Phase 2,50.0,,Novartis,,,,,False,,,,,,,,,,,,,,,,,2023-06-15 13:17:08,2023-06-15 13:17:08,INDUSTRY,,,,,
290416,290417,NCT00318383,,2006-04-24,,,2017-01-11,2006-04-24,2006-04-26,Estimate,,,,,,,2017-01-11,2017-01-12,Estimate,May 2006,,2006-05-31,November 2008,2008-11-30,December 2007,Actual,2007-12-31,September 2007,Actual,2007-09-30,,Interventional,,,Efficacy of NicVAX in Smokers Who Want to Quit Smoking,"A Phase 2, Multi-center, Randomized, Double-blinded, Placebo-controlled Study to Assess Efficacy of 3'-Aminomethylnicotine-P.Aeruginosa r-Exoprotein A Conjugate Vaccine (NicVAX) in Smokers Who Want to Quit Smoking",Completed,,Phase 2,313.0,Actual,National Institute on Drug Abuse (NIDA),,6.0,,,False,,,,True,,,,,,,,,,,,,2023-06-15 13:18:00,2023-06-15 13:18:00,NIH,,,,,
290471,290472,NCT00689351,,2008-05-29,2010-12-10,,2011-06-24,2008-06-02,2008-06-03,Estimate,2010-12-10,2011-01-11,Estimate,,,,2011-06-24,2011-06-28,Estimate,June 2008,,2008-06-30,June 2011,2011-06-30,December 2009,Actual,2009-12-31,December 2009,Actual,2009-12-31,,Interventional,,,Study Evaluating A 13-Valent Pneumococcal Conjugate Vaccine Administered To Infants In Korea,"Phase 2, Randomized, Active-Controlled, Double-Blind Trial Evaluating The Safety, Tolerability, And Immunogenicity Of A 13-Valent Pneumococcal Conjugate Vaccine In Healthy Infants Given With Routine Pediatric Vaccinations In Korea",Completed,,Phase 2,180.0,Actual,Wyeth is now a wholly owned subsidiary of Pfizer,,2.0,,,False,,,,False,,,,,,,,,,,,,2023-06-16 16:33:48,2023-06-16 16:33:48,INDUSTRY,,,,,
290699,290700,NCT00322361,,2006-05-02,,,2017-03-15,2006-05-04,2006-05-05,Estimate,,,,,,,2017-03-15,2017-03-16,Actual,May 2006,,2006-05-31,March 2017,2017-03-31,July 2007,Actual,2007-07-31,July 2007,Actual,2007-07-31,,Interventional,,,Modified Process Hepatitis B Vaccine in Healthy Neonates (V232-056),"A Study in Healthy Neonates of Safety, Tolerability, and Immunogenicity of Recombinant Hepatitis B Vaccine Manufactured Using a Modified Process",Completed,,Phase 2,566.0,Actual,Merck Sharp & Dohme LLC,,2.0,,,False,,,,False,,,,,,,,,,,,,2023-06-15 13:19:48,2023-06-15 13:19:48,INDUSTRY,,,,,
290733,290734,NCT00322946,,2006-05-04,,,2009-08-05,2006-05-04,2006-05-08,Estimate,,,,,,,2009-08-05,2009-08-07,Estimate,January 2007,,2007-01-31,November 2008,2008-11-30,,,,August 2009,Actual,2009-08-31,,Interventional,,,Safety of and Immune Response to a Dengue Virus Vaccine (rDEN4delta30-4995) in Healthy Adults,"Phase 1 Study of the Safety and Immunogenicity of rDEN4delta30-4995, a Live Attenuated Virus Vaccine Candidate for the Prevention of Dengue Serotype 4",Completed,,Phase 1,84.0,Anticipated,National Institute of Allergy and Infectious Diseases (NIAID),,4.0,,,False,,,,True,,,,,,,,,,,,,2023-06-15 13:20:05,2023-06-15 13:20:05,NIH,,,,,
290894,290895,NCT00962624,,2009-08-19,,,2018-09-17,2009-08-19,2009-08-20,Estimate,,,,,,,2018-09-17,2018-09-19,Actual,July 2010,,2010-07-31,September 2018,2018-09-30,March 2012,Actual,2012-03-31,March 2011,Actual,2011-03-31,,Interventional,MenOccy,,Study of Meningococcal B Vaccine and ACWY Conjugate Vaccine in Healthy Adults,"A Phase 2, Open-label Study of the Safety, Tolerability and Immunogenicity of a Meningococcal B Vaccine When Administered at a 0, 2, 6 Months and of a Single Dose of Meningococcal ACWY Conjugate Vaccine in Healthy Adults Aged 18-65 Years",Completed,,Phase 2,38.0,Actual,Public Health England,,,,,False,,,,False,,,,,,,,,,,,,2023-06-16 16:36:37,2023-06-16 16:36:37,OTHER_GOV,,,,,
290904,290905,NCT00502593,,2007-07-16,2012-12-20,2012-03-09,2018-09-25,2007-07-16,2007-07-17,Estimate,2014-05-01,2014-06-03,Estimate,2012-03-09,2012-03-14,Estimate,2018-09-25,2018-10-25,Actual,"July 23, 2007",,2007-07-23,June 2017,2017-06-30,"December 4, 2009",Actual,2009-12-04,"December 4, 2009",Actual,2009-12-04,,Interventional,,,Evaluate Safety & Immunogenicity of a Pandemic Influenza Vaccine (GSK1562902A) in Children,"A Phase II, Randomized, Open, Controlled Study to Evaluate the Safety and Immunogenicity of Different Formulations of a Pandemic Influenza Vaccine Candidate (Split Virus Formulation Adjuvanted With AS03) Given Following a Two-administration Schedule (21 Days Apart) in Children Between 3 and 9 Years of Age.",Completed,,Phase 2,138.0,Actual,GlaxoSmithKline,,12.0,,,False,,,,False,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-16 16:36:51,2023-06-16 16:36:51,INDUSTRY,,,,,
290946,290947,NCT00546078,,2007-10-17,2009-11-12,,2018-05-24,2007-10-17,2007-10-18,Estimate,2009-11-12,2009-12-15,Estimate,,,,2018-05-24,2018-06-26,Actual,"January 14, 2008",,2008-01-14,October 2016,2016-10-31,"December 1, 2009",Actual,2009-12-01,"December 22, 2008",Actual,2008-12-22,,Interventional,,,Follow-up Study to Evaluate the Safety and Immunogenicity of a HPV Vaccine (580299) in North America,"Safety and Immunogenicity Study of an Additional Dose of HPV Vaccine (580299) in Young, Adult Women in North America.",Completed,,Phase 2,116.0,Actual,GlaxoSmithKline,,2.0,,,False,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-16 16:37:17,2023-06-16 16:37:17,INDUSTRY,,,,,
291069,291070,NCT00427167,,2007-01-25,,,2017-06-30,2007-01-25,2007-01-26,Estimate,,,,,,,2017-06-30,2017-07-02,Actual,"January 23, 2007",,2007-01-23,"August 3, 2009",2009-08-03,"November 5, 2008",Actual,2008-11-05,"November 5, 2008",Actual,2008-11-05,,Interventional,,,Phase I Study of AMA1-C1/Alhydrogel® (Registered Trademark) + CPG 7909 Malaria Vaccine,"Phase I Study of the Safety and Immunogenicity of AMA1-C1/Alhydrogel + CPG 7909, an Asexual Blood Stage Vaccine for Plasmodium Falciparum Malaria",Completed,,Phase 1,300.0,,National Institutes of Health Clinical Center (CC),,,,,False,,,,,,,,,,,,,,,,,2023-06-15 13:22:18,2023-06-15 13:22:18,NIH,,,,,
291162,291163,NCT05389319,,2022-05-24,,,2022-07-13,2022-05-24,2022-05-25,Actual,,,,,,,2022-07-13,2022-07-14,Actual,"June 24, 2022",Actual,2022-06-24,July 2022,2022-07-31,"February 28, 2023",Anticipated,2023-02-28,"February 28, 2023",Anticipated,2023-02-28,,Interventional,,,A Study to Assess the Safety and Immunogenicity of a COVID-19 Vaccine Booster in Healthy Adults,"A Phase Ia, Dose-finding Study to Assess the Safety and Immunogenicity of an Orf Virus-based COVID-19 Vaccine Booster (Prime-2-CoV_Beta) in Healthy Adults",Recruiting,,Phase 1,60.0,Anticipated,University Hospital Tuebingen,,5.0,,,False,,,,True,False,False,,,,,,,,,No,,2023-06-15 13:22:53,2023-06-15 13:22:53,OTHER,,,,,
291214,291215,NCT00427830,,2007-01-25,,,2007-01-26,2007-01-26,2007-01-29,Estimate,,,,,,,2007-01-26,2007-01-29,Estimate,May 2003,,2003-05-31,December 2006,2006-12-31,January 2005,,2005-01-31,,,,,Interventional,,,"A Phase I Study of the Safety and Immunogenicity of a Recombinant MVA Vaccine Encoding a Secreted Antigen From M. Tuberculosis, Antigen 85A, Delivered Intradermally by a Needle Injection in Healthy Volunteers Who Have Previously Received BCG","A Phase I Study of the Safety and Immunogenicity of a Recombinant MVA Vaccine Encoding a Secreted Antigen From M. Tuberculosis, Antigen 85A, Delivered Intradermally by a Needle Injection in Healthy Volunteers Who Have Previously Received BCG",Completed,,Phase 1,16.0,,University of Oxford,,,,,False,,,,,,,,,,,,,,,,,2023-06-15 13:23:08,2023-06-15 13:23:08,OTHER,,,,,
291284,291285,NCT00966342,,2009-08-24,,,2009-10-21,2009-08-24,2009-08-26,Estimate,,,,,,,2009-10-21,2009-10-23,Estimate,August 2009,,2009-08-31,October 2009,2009-10-31,November 2009,Anticipated,2009-11-30,October 2009,Anticipated,2009-10-31,,Interventional,,,Rapid Evaluation of Seasonal Influenza Vaccine,Post-marketing Surveillance of Annual Influenza Vaccines: Extended Vaccine Safety and Immunogenicity Evaluation,Withdrawn,,Phase 1,300.0,Anticipated,University of British Columbia,,1.0,,New studies are being offered,False,,,,False,,,,,,,,,,,,,2023-06-16 16:39:30,2023-06-16 16:39:30,OTHER,,,,,
291330,291331,NCT00428337,,2007-01-29,,,2021-10-13,2007-01-29,2007-01-30,Estimate,,,,,,,2021-10-13,2021-10-14,Actual,April 2007,,2007-04-30,October 2021,2021-10-31,August 2008,Actual,2008-08-31,,,,,Interventional,,,"Safety of and Immune Response to a DNA Vaccine and a Recombinant HIV-1-MVA Vaccine, Separately and in Combination, in Healthy Adults","A Phase I Clinical Trial to Evaluate the Safety and Immunogenicity of DNA Vaccine EP-1233 and Recombinant MVA-HIV Polytope Vaccine MVA-mBN32, Separately and in a Combined Prime-boost Regimen, When Given to Healthy, Vaccinia-naive, HIV-1-uninfected Adults",Completed,,Phase 1,36.0,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,3.0,,,False,,,,,,,,,,,,,,,,,2023-06-15 13:23:34,2023-06-15 13:23:34,NIH,,,,,
291397,291398,NCT00980850,,2009-09-18,,,2013-05-07,2009-09-18,2009-09-21,Estimate,,,,,,,2013-05-07,2013-05-09,Estimate,September 2009,,2009-09-30,May 2013,2013-05-31,December 2009,Actual,2009-12-31,December 2009,Actual,2009-12-31,,Interventional,,,Swine Flu (Novel Influenza A H1N1) Vaccine Study,"Open Label, Randomized, Parallel-Group, Multi-Centre Study to Evaluate the Safety, Tolerability and Immunogenicity of Baxter H1N1 Vaccine and GlaxoSmithKline H1N1 Vaccine in Children 6 Months to 12 Years of Age",Completed,,Phase 2,1000.0,Anticipated,University of Oxford,,2.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 16:40:30,2023-06-16 16:40:30,OTHER,,,,,
291590,291591,NCT00327665,,2006-05-17,,,2017-05-05,2006-05-17,2006-05-18,Estimate,,,,,,,2017-05-05,2017-05-08,Actual,"May 1, 2006",Actual,2006-05-01,May 2017,2017-05-31,"January 8, 2007",Actual,2007-01-08,"January 1, 2007",Actual,2007-01-01,,Interventional,,,Study to Evaluate the Safety and Immunogenicity of an Investigational Pneumococcal Vaccine in the Elderly Population,"A Phase I/II, Randomized, Observer Blinded Study to Evaluate and Compare the Safety, Reactogenicity and Immunogenicity of GlaxoSmithKline Biologicals' Investigational Pneumococcal Vaccine Formulations Versus a Licensed Non-GlaxoSmithKline Biologicals' Vaccine and GlaxoSmithKline Biologicals' Aluminum-based 10-valent Pneumococcal Conjugate Vaccine, in Healthy Elderly Subjects",Completed,,Phase 1,335.0,Actual,GlaxoSmithKline,,5.0,,,False,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-15 13:24:44,2023-06-15 13:24:44,INDUSTRY,,,,,
291736,291737,NCT05714748,,2023-01-27,,,2023-01-27,2023-01-27,2023-02-06,Actual,,,,,,,2023-01-27,2023-02-06,Actual,"November 18, 2022",Actual,2022-11-18,January 2023,2023-01-31,January 2025,Anticipated,2025-01-31,January 2024,Anticipated,2024-01-31,,Interventional,,,Application of mRNA Immunotherapy Technology in Epstein-Barr Virus-related Refractory Malignant Tumors,A Phase I Study of mRNA Vaccine for Patients With EBV-positive Advanced Malignant Tumors,Recruiting,,Phase 1,9.0,Anticipated,West China Hospital,,1.0,,,False,,,,False,False,False,,,,,,,,,No,,2023-06-18 22:19:48,2023-06-18 22:19:48,OTHER,,,,,
291748,291749,NCT00989274,,2009-10-02,,,2012-03-28,2009-10-02,2009-10-05,Estimate,,,,,,,2012-03-28,2012-04-02,Estimate,June 2010,,2010-06-30,March 2012,2012-03-31,July 2010,Anticipated,2010-07-31,June 2010,Anticipated,2010-06-30,,Interventional,,,Clinical Trial to Evaluate the Immunogenicity and Safety of the Vaccine Against Influenza A/H1N1,Phase II Clinical Trial to Evaluate the Immunogenicity and Safety of the Vaccine Against Pandemic Influenza A/H1N1 Produced by Sanofi,Withdrawn,,Phase 2,0.0,Actual,"Instituto Nacional de Salud Publica, Mexico",,3.0,,"Late approval by the Secretariat of Health, and expiration of vaccine",False,,,,True,,,,,,,,,,,,,2023-06-16 16:43:37,2023-06-16 16:43:37,OTHER,,,,,
291795,291796,NCT00540228,,2007-10-04,2013-03-14,2009-05-08,2019-06-13,2007-10-04,2007-10-05,Estimate,2013-03-14,2013-04-30,Estimate,2009-09-25,2009-09-28,Estimate,2019-06-13,2019-06-14,Actual,"October 5, 2007",Actual,2007-10-05,June 2019,2019-06-30,"May 8, 2008",Actual,2008-05-08,"May 8, 2008",Actual,2008-05-08,,Interventional,,,Study to Evaluate an Influenza Vaccine Candidate,"Immunogenicity, Safety and Reactogenicity of GSK Biologicals' Influenza Vaccine GSK1247446A With Various Formulations in Subjects Aged 18-64 Years",Completed,,Phase 2,1006.0,Actual,GlaxoSmithKline,,5.0,,,False,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-16 16:44:16,2023-06-16 16:44:16,INDUSTRY,,,,,
291870,291871,NCT00329927,,2006-05-23,,,2006-09-13,2006-05-23,2006-05-25,Estimate,,,,,,,2006-09-13,2006-09-14,Estimate,June 2006,,2006-06-30,September 2006,2006-09-30,,,,,,,,Interventional,,,Safety and Immunogenicity of a Commercially Available Influenza Vaccine (Formulation 2006/2007) When Administered to Elderly Subjects,"A Phase II, Open Label, Uncontrolled, Multi Center Study to Evaluate Safety and Immunogenicity of a Commercially Available Surface Antigen, Inactivated, (Adjuvanted With MF59C.1) Influenza Vaccine, Formulation 2006-2007, When Administered to Elderly Subjects.",Completed,,Phase 2,60.0,,Novartis,,,,,False,,,,,,,,,,,,,,,,,2023-06-15 13:26:02,2023-06-15 13:26:02,INDUSTRY,,,,,
291933,291934,NCT00329966,,2006-05-23,,,2006-09-13,2006-05-23,2006-05-25,Estimate,,,,,,,2006-09-13,2006-09-14,Estimate,June 2006,,2006-06-30,September 2006,2006-09-30,,,,,,,,Interventional,,,Safety and Immunogenicity of a Commercially Available Influenza Vaccine (Formulation 2006/2007) When Administered to Subjects 18 Years of Age or Older,"A Phase II, Open Label, Uncontrolled, Multi Center Study to Evaluate Safety and Immunogenicity of a Commercially Available Surface Antigen, Inactivated, Influenza Vaccine, Formulation 2006-2007, When Administered to Non-Elderly Adult and Elderly Subjects",Completed,,Phase 2,100.0,,Novartis,,,,,False,,,,,,,,,,,,,,,,,2023-06-15 13:26:04,2023-06-15 13:26:04,INDUSTRY,,,,,
291959,291960,NCT00751595,,2008-09-11,,,2016-03-03,2008-09-11,2008-09-12,Estimate,,,,,,,2016-03-03,2016-03-04,Estimate,September 2008,,2008-09-30,March 2016,2016-03-31,December 2012,Actual,2012-12-31,June 2012,Actual,2012-06-30,,Interventional,ISS T-002,,Immunogenicity and Safety Trial of the HIV-1 Tat Vaccine,"A Phase II Randomized, Open Label, Immunogenicity and Safety Trial of the Vaccine Based on the Recombinant Biologically Active HIV-1 Tat Protein in Anti-Tat Negative HIV-1 Infected HAART-treated Adult Subjects.",Completed,,Phase 2,168.0,Actual,Istituto Superiore di Sanità,,2.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 16:46:24,2023-06-16 16:46:24,OTHER,,,,,
292298,292299,NCT00435396,,2007-02-14,,,2017-05-24,2007-02-14,2007-02-15,Estimate,,,,,,,2017-05-24,2017-05-30,Actual,"February 22, 2007",Actual,2007-02-22,May 2017,2017-05-31,"August 27, 2008",Actual,2008-08-27,"August 27, 2008",Actual,2008-08-27,,Interventional,,,Study to Evaluate Safety and Immunogenicity of the GSK Bio CMV Vaccine in CMV-seronegative Healthy Male Adult Subjects,"A Phase I, Open-label, Vaccination Study to Evaluate the Safety and Immunogenicity of the GSK Biologicals Recombinant CMV gB Sub-unit Vaccine GSK1492903A in CMV-seronegative Healthy Male Adult Subjects",Completed,,Phase 1,40.0,Actual,GlaxoSmithKline,,1.0,,,False,,,,,,,,,,,,,,,,,2023-06-15 13:27:26,2023-06-15 13:27:26,INDUSTRY,,,,,
292521,292522,NCT00335855,,2006-06-08,,,2019-01-18,2006-06-08,2006-06-12,Estimate,,,,,,,2019-01-18,2019-01-23,Actual,,,,April 2009,2009-04-30,October 2006,,2006-10-31,,,,,Interventional,,,Pharma-Pen (Formerly Innoject) Auto-injectory TIV,"Demonstration of Safety, Effectiveness, and Ease-of-Use of an Advanced Self-Delivery System (Pharma-Pen) for IM and SC Administration of Vaccines by Untrained Users - Phase I",Withdrawn,,Phase 1,0.0,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,,,,False,,,,,,,,,,,,,,,,,2023-06-15 13:29:43,2023-06-15 13:29:43,NIH,,,,,
292550,292551,NCT00481065,,2007-05-31,2011-08-26,,2013-12-31,2007-05-31,2007-06-01,Estimate,2013-01-23,2013-02-28,Estimate,,,,2013-12-31,2014-02-03,Estimate,April 2007,,2007-04-30,December 2013,2013-12-31,December 2008,Actual,2008-12-31,December 2008,Actual,2008-12-31,,Interventional,,The demographic characteristics of the randomized population are summarized in this section.,"Immunogenicity, Safety and Tolerability of Prepandemic Influenza and Seasonal Influenza Vaccine in Adult Subjects","A Phase II, Randomized, Controlled, Open Label, Single-Center Study to Evaluate the Immunogenicity, Safety and Tolerability of an H5N1-vaccine and a Seasonal Influenza Vaccine in Adult Subjects",Completed,,Phase 2,405.0,Actual,Novartis,,8.0,,,False,,,,,,,,,,,,,,,,,2023-06-16 16:50:51,2023-06-16 16:50:51,INDUSTRY,,,,,
292570,292571,NCT00347529,,2006-06-30,,,2007-01-25,2006-06-30,2006-07-04,Estimate,,,,,,,2007-01-25,2007-01-29,Estimate,August 2006,,2006-08-31,January 2007,2007-01-31,January 2007,,2007-01-31,,,,,Interventional,,,Safety Study of an Influenza Vaccine Against a Potential Pandemic Strain of Flu,"A Randomised Double Blind Dose-Ranging Study to Assess the Safety, Tolerability and Immunogenicity of a Monovalent H5 DNA Influenza Vaccine (A Vietnam/1194/2004) Administered by Particle Mediated Epidermal Delivery (PMED) to Healthy Adults",Completed,,Phase 1,75.0,,PowderMed,,,,,False,,,,,,,,,,,,,,,,,2023-06-15 13:30:08,2023-06-15 13:30:08,INDUSTRY,,,,,
292763,292764,NCT00338351,,2006-06-16,,,2016-09-27,2006-06-16,2006-06-20,Estimate,,,,,,,2016-09-27,2016-09-28,Estimate,April 2006,,2006-04-30,September 2016,2016-09-30,October 2006,Actual,2006-10-31,,,,,Interventional,,,Safety and Immunogenicity Study of GlaxoSmithKline (GSK) Biologicals' 10-valent Pneumococcal Conjugate Vaccine.,"To Assess Reactogenicity and Immunogenicity of GSK Biologicals' 10-valent Pneumococcal Conjugate Vaccine, When Co-administered With GSK Biologicals' DTPa-HBV-IPV/Hib Vaccine (Infanrix Hexa) at 2, 4 and 6 Months of Age.",Completed,,Phase 2,240.0,,GlaxoSmithKline,,,,,False,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-15 13:30:58,2023-06-15 13:30:58,INDUSTRY,,,,,
292778,292779,NCT00445419,,2007-03-08,,,2010-02-05,2007-03-08,2007-03-09,Estimate,,,,,,,2010-02-05,2010-02-08,Estimate,December 2006,,2006-12-31,February 2010,2010-02-28,June 2008,Actual,2008-06-30,,,,,Interventional,,,Phase I Hepatitis C Vaccine Trial of Virosome-formulated Peptides,A Phase I Single-blind Randomised Placebo Controlled Dose Escalating Study of One Virosome Formulated CD4 and Two Virosomes Formulated CD8 Hepatitis C Virus (HCV) Vaccine Components (PEV2A and PEV2B) Administered to Healthy Adult Volunteers,Completed,,Phase 1,30.0,Anticipated,Pevion Biotech Ltd,,,,,False,,,,True,,,,,,,,,,,,,2023-06-15 13:31:08,2023-06-15 13:31:08,INDUSTRY,,,,,
292817,292818,NCT00965588,,2009-08-24,,,2011-08-22,2009-08-24,2009-08-25,Estimate,,,,,,,2011-08-22,2011-08-23,Estimate,February 2009,,2009-02-28,August 2011,2011-08-31,April 2011,Actual,2011-04-30,April 2011,Actual,2011-04-30,,Interventional,,,"Study to Evaluate Safety, Tolerability and Immunogenicity of Vaccine (UB 311) in Subjects With Alzheimer's Disease","A Phase I, Open-Label Study to Evaluate the Safety, Tolerability and Immunogenicity of the UBITh AD Immunotherapeutic Vaccine (UB 311) in Patients With Mild to Moderate Alzheimer's Disease",Completed,,Phase 1,19.0,Actual,United Biomedical,,1.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 16:53:10,2023-06-16 16:53:10,INDUSTRY,,,,,
292825,292826,NCT00975572,,2009-09-08,,,2012-09-11,2009-09-09,2009-09-11,Estimate,,,,,,,2012-09-11,2012-09-12,Estimate,July 2009,,2009-07-31,September 2009,2009-09-30,February 2010,Actual,2010-02-28,September 2009,Actual,2009-09-30,,Interventional,,,Novel Influenza A/H1N1 Split- Virion Vaccine in Healthy Population Aged 3 Years and Older,"A Double-blind, Randomized, Stratified and Controlled Clinical Trial With Split-virion, Adjuvanted and Non-adjuvanted Influenza A/H1N1 Vaccines in Healthy Adults, Elders, Adolescents and Children",Completed,,Phase 2,2200.0,Actual,Jiangsu Province Centers for Disease Control and Prevention,,6.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 16:53:16,2023-06-16 16:53:16,NETWORK,,,,,
292839,292840,NCT04822025,,2021-03-25,,,2022-06-27,2021-03-28,2021-03-30,Actual,,,,,,,2022-06-27,2022-06-28,Actual,"May 20, 2021",Actual,2021-05-20,June 2021,2021-06-30,"January 28, 2022",Actual,2022-01-28,"August 25, 2021",Actual,2021-08-25,,Interventional,,,A Study to Evaluate MVC-COV1901 Vaccine Against COVID-19 in Elderly Adults,"A Phase II, Prospective, Randomized, Double-Blind, Dose-Comparison, Multi-Center Study to Evaluate the Safety, Tolerability, and Immunogenicity of the SARS-CoV-2 Vaccine Candidate MVC-COV1901 in Elderly Adults",Completed,,Phase 2,420.0,Actual,Medigen Vaccine Biologics Corp.,,2.0,,,False,,,,True,False,False,,,,,,,,,No,,2023-06-16 16:53:33,2023-06-16 16:53:33,INDUSTRY,,,,,
292967,292968,NCT00340574,,2006-06-19,,,2017-06-30,2006-06-19,2006-06-21,Estimate,,,,,,,2017-06-30,2017-07-02,Actual,"March 8, 2005",,2005-03-08,"July 2, 2008",2008-07-02,"July 2, 2008",,2008-07-02,,,,,Interventional,,,Improving the Efficacy of Experimental Malaria Vaccine AMA1-C1/Alhydrogel® (Registered Trademark),"Phase I Study of the Safety and Immunogenicity of AMA-1-C1/Alhydrogel + CPG 7909, An Asexual Blood Stage Vaccine for Plasmodium Falciparum Malaria",Completed,,Phase 1,0.0,,National Institutes of Health Clinical Center (CC),,,,,False,,,,,,,,,,,,,,,,,2023-06-15 13:32:11,2023-06-15 13:32:11,NIH,,,,,
293468,293469,NCT05470400,,2022-06-29,,,2023-02-01,2022-07-19,2022-07-22,Actual,,,,,,,2023-02-01,2023-02-03,Actual,"August 15, 2022",Actual,2022-08-15,February 2023,2023-02-28,July 2025,Anticipated,2025-07-31,"July 1, 2025",Anticipated,2025-07-01,,Interventional,,,"A Clinical Trial to Evaluate Safety, Tolerability, and Immunogenicity of Adjuvanted HIV-1 Fusion Peptide Conjugate Vaccine Alone or in Prime-Boost Regimens With Adjuvanted HIV-1 Envelope Trimer 4571 and HIV-1 Trimer 6931 Vaccines in Healthy Adults","A Phase 1, Open-Label Clinical Trial to Evaluate Safety, Tolerability, and Immunogenicity of Adjuvanted HIV-1 Fusion Peptide Conjugate Vaccine (VRC-HIVVCP0108-00-VP) Alone or in Prime-Boost Regimens With Adjuvanted HIV-1 Envelope Trimer 4571 (VRC-HIVRGP096-00-VP) and HIV-1 Trimer 6931 (VRC-HIVRGP0106-00-VP) Vaccines in Healthy Adults",Suspended,,Phase 1,60.0,Anticipated,National Institute of Allergy and Infectious Diseases (NIAID),,8.0,,Temporarily Closed (Paused) to Accrual,False,,,,,True,False,,,,,,,,,No,,2023-06-16 16:57:43,2023-06-16 16:57:43,NIH,,,,,
293511,293512,NCT00346892,,2006-02-03,,,2016-09-08,2006-06-29,2006-06-30,Estimate,,,,,,,2016-09-08,2016-09-09,Estimate,November 2001,,2001-11-30,September 2016,2016-09-30,,,,March 2003,Actual,2003-03-31,,Interventional,,,To Evaluate 2 Doses of GSK Biologicals' Oral Live Attenuated Human HRV Vaccine Co-administered With Either OPV or IPV,Reactogenicity & Immunogenicity Study of Two Doses of GSK Biologicals' Oral Live Attenuated HRV Vaccine Co-administered With Either OPV or IPV in Healthy Infants (Approximately 5-10 Weeks Old) in South Africa,Completed,,Phase 2,450.0,,GlaxoSmithKline,,,,,False,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-15 13:35:41,2023-06-15 13:35:41,INDUSTRY,,,,,
